atasozu;kullanim_alani
adamýn iyisi iþ baþýnda belli olur;iþ
adamýný yere bakanýndan, suyun aðýr (sessiz) akanýndan kork (sakýn);psikoloji
adam olana bir söz yeter;eðitim
âdemoðlu (insanoðlu) çið süt emmiþtir;psikoloji
aðaca çýkan keçinin dala bakan oðlaðý olur;aile
aðacý kurt, insaný dert yer;psikoloji
aðaç kökünden yýkýlýr;hayat
aðaç yapraðý ile güzeldir (gürler);hayat
aðaç yaþ iken eðilir;iþ
aðýlda oðlak doðsa ovada otu biter;hayat
aðýr giden yol alýr, hýzlý giden yolda kalýr;toplum
aðýr kazan geç kaynar;hayat
aðýr ol, batman gelesin;toplum
aðýr taþ batman döver (yerinden oynamaz);hayat
aðýr yongayý yel kaldýrmaz;hayat
aðýz yer, yüz utanýr;psikoloji
aðlamayan çocuða meme vermezler;hayat
aðlatan gülmez;psikoloji
aðrýsýz baþ mezarda gerek (olur);saðlýk
aðustosta gölge kovan, zemheride karnýn ovar;hayat
ah alan onmaz;psikoloji
ahlatýn (armudun) iyisini ayýlar yer;toplum
ahmaða yüz, abdala söz vermeye gelmez;psikoloji
ahmak iti yol kocatýr;psikoloji
akacak kan damarda durmaz;hayat
ak akçe kara gün içindir;iþ
akan su yosun (pislik) tutmaz;hayat
akar su çukurunu kendi kazar;hayat
akan suya inanma, el oðluna güvenme;toplum
akýl akýldan üstündür;eðitim
akýl için tarik (yol) birdir;eðitim
ayaðýný yorganýna göre uzat;hayat
az tamah çok ziyan getirir;psikoloji
az veren candan, çok veren maldan;aile
akýl kiþiye (adama) sermayedir;eðitim
az söyle, çok dinle;eðitim
azýcýk aþým, kaygýsýz (aðrýsýz) baþým;hayat
ayýpsýz yâr (dost) arayan, yârsýz (dostsuz) kalýr;psikoloji
aza kanaat etmeyen çoðu hiç bulamaz;psikoloji
aza demiþler: “nereye?”, “çoðun yanýna” demiþ;psikoloji
ayaðý yürüten baþtýr;eðitim
ay ýþýðýnda ceviz silkilmez;iþ
ayý görmeden bayram etme;hayat
akýllý düþman, akýlsýz dosttan hayýrlýdýr (deli dostun olacaðýna akýllý düþmanýn olsun);psikoloji
akýllý hýrsýz, þaþkýn ev sahibini bastýrýr;toplum
atýn bahtsýzý arabaya düþer;hayat
atýn ölümü arpadan olsun;hayat
akýllý köprü arayýncaya dek deli suyu geçer;psikoloji
akýllýyý arkada tutma, akýlsýzý kýlavuz etme;toplum
akýl para ile satýlmaz;eðitim
atýn ürkeði, yiðidin korkaðý;psikoloji
akýlsýz baþýn zahmetini (cezasýný) ayaklar çeker;hayat
akýl yaþta deðil baþtadýr;eðitim
at ölür, itlere bayram olur;toplum
ava giden avlanýr;hayat
avrat var ev yapar, avrat var ev yýkar;aile
ak koyunun kara kuzusu da olur;aile
"ayaðýný sýcak tut, baþýný serin; gönlünü ferah tut, düþünme derin";saðlýk
av avlayanýn, kemer baðlayanýn;iþ
ayaða deðmedik taþ olmaz, baþa gelmedik iþ olmaz;hayat
atanýn (babanýn) sanatý oðula mirastýr;aile
at yiðidin yoldaþýdýr;hayat
at ölür meydan kalýr, yiðit ölür þan kalýr;hayat
at sahibine (biniciye) göre eþer (kiþner);toplum
ava gelmez kuþ olmaz, baþa gelmez iþ olmaz;hayat
atasýný tanýmayan allah`ýný tanýmaz;toplum
atlar nallanýrken kurbaða ayaðýný uzatmaz;toplum
akla gelmeyen baþa gelir;hayat
atlasa kýl yapýþmaz;toplum
ateþ olmayan yerden duman çýkmaz;toplum
ateþle barut bir yerde durmaz;psikoloji
aslýný inkâr eden (saklayan) haramzadedir;toplum
atýlan ok geri dönmez;hayat
at binenin (iþ bilenin), kýlýç kuþananýn;iþ
ateþ düþtüðü yeri yakar;psikoloji
at binicisini tanýr (bilir);iþ
âþýk âlemi kör, dört yanýný duvar sanýr;psikoloji
akraba (dost) ile ye, iç, alýþveriþ etme;aile
allah uçamayan kuþa alçacýk dal verir;hayat
aþ taþýnca kepçeye paha olmaz;hayat
ata eyer gerek, eyere er gerek;iþ
at, adýmýna göre deðil, adamýna göre yürür;toplum
aþýný, eþini, iþini bil;hayat
akþama karþý gitme, tana karþý yatma;saðlýk
arpa eken buðday biçmez;hayat
âþýða baðdat sorulmaz (ýrak deðildir);psikoloji
arý, kýzdýraný sokar;psikoloji
asil azmaz, bal kokmaz (kokarsa yað kokar, çünkü aslý ayrandýr);toplum
arslan yataðýndan (yattýðý yerden) bellidir (belli olur);hayat
arýk öküze býçak çalýnmaz;hayat
arý bal alacak çiçeði bilir;psikoloji
almadan vermek, allah`a mahsus (yaraþýr);hayat
ar dünyasý deðil kâr dünyasý;toplum
araba ile tavþan avlanmaz;iþ
arabanýn ön tekeri nereden geçerse arka tekeri de oradan geçer;aile
altýn anahtar her kapýyý açar;toplum
araba devrilince (teker kýrýlýnca) yol gösteren çok olur;toplum
anlayana sivrisinek saz, anlamayana davul zurna az;eðitim
aptal ata binince bey oldum sanýr, þalgam aþa girince yað oldum sanýr;psikoloji
aptalýn dostluðu köy görünceye kadar;psikoloji
aptal düðünden, çocuk oyundan usanmaz;psikoloji
ana evlâdýný atmýþ, yar baþýnda tutmuþ;aile
ana gibi yâr, baðdat gibi diyar olmaz;aile
altýn eþik, gümüþ eþiðe muhtaç olur;hayat
aman diyene kýlýç kalkmaz (eðilen baþ kesilmez);toplum
altýn yere düþmekle pul olmaz;toplum
altý olur, yedi olur, hep allah`ýn dediði olur;hayat
altýn eli býçak kesmez;toplum
aklýna geleni iþleme, her aðacý taþlama;psikoloji
alma mazlumun âhýný, çýkar âheste âheste;psikoloji
almadýðýn hayvaný kuyruðundan tutma;iþ
akþamýn hayrýndan sabahýn þerri yeðdir (iyidir);hayat
alacaðýn olsunda da alakargada olsun;iþ
alacakla verecek (borç) ödenmez;iþ
allah sað eli sol ele muhtaç etmesin;toplum
allah`tan umut kesilmez;hayat
alçak uçan yüce konar, yüce uçan alçak konar;psikoloji
alçak yerde yatma sel alýr, yüksek yerde yatma yel alýr;toplum
allah sabýrlý kulunu sever;toplum
alçak yer yiðidi hor gösterir;toplum
allah doðrunun yardýmcýsýdýr;psikoloji
allah`ýn bildiði kuldan saklanmaz;hayat
al elmaya taþ atan çok olur;hayat
allah kulunu kýsmeti ile yaratýr;psikoloji
allah gümüþ kapýyý kaparsa altýn kapýyý açar;toplum
alýþmýþ kudurmuþtan beterdir;iþ
baz bazla, kaz kazla, kel tavuk topal horozla;psikoloji
borç yiðidin kamçýsýdýr;hayat
bedava sirke baldan tatlýdýr;iþ
allah daðýna göre kar verir (verir kýþý);hayat
bostan yeþil (gök) iken pazarlýða oturulmaz;iþ
allah bir kapýyý kapatýrsa ötekini açar;hayat
belâ geliyorum demez;hayat
boynuz kulaðý geçer;eðitim
bugünün iþini yarýna býrakma;iþ
bugünkü tavuk yarýnki kazdan iyidir;hayat
buðday baþak verince orak pahaya çýkar (kýymete biner);iþ
buðdayým var deme ambara girmeyince, oðlum var deme yoksulluða düþmeyince;aile
buðdayýn yanýnda acý ot da sulanýr;toplum
bükemediðin eli öp;toplum
bülbülü altýn kafese koymuþlar, “ah vataným” demiþ;psikoloji
büyük balýk, küçük balýðý yutar;toplum
büyük lokma ye (de), büyük söz söyleme;psikoloji
büyük baþýn derdi büyük olur;toplum
bülbülün çektiði dil (i) belâsýdýr;psikoloji
bugün bana ise yarýn sana;toplum
böyle gelmiþ böyle gider;toplum
boþ çuval ayakta (dik) durmaz;iþ
boþ fýçý çok (fazla) langýrdar;psikoloji
boþ torba ile at tutulmaz (boþ torbaya eþek gelmez);iþ
boþ gezmekten bedava çalýþmak yeðdir;iþ
bilmemek ayýp deðil, sormamak (öðrenmemek) ayýp;eðitim
borç iyi güne kalmaz;iþ
al kaþaðýyý gir ahýra, yarasý (yaðýrý) olan gocunsun (gocunur);toplum
borç uzayýnca kalýr, dert uzayýnca alýr;psikoloji
borçsuz çoban yoksul beyden yeðdir;toplum
borçtan korkan kapýsýný geniþ (büyük) açmaz;iþ
borçlunun yalýmý alçak olur;psikoloji
bir adama kýrk gün deli desen deli olur;toplum
bol bol yiyen, bel bel bakar;toplum
bitli (kurtlu, çürük) baklanýn kör alýcýsý olur;toplum
bizim gelin bizden kaçar, tutar ellere baþýný açar;aile
boðaz dokuz (kýrk) boðumdur (boða boða söyler);psikoloji
bir günlük beylik, beyliktir;hayat
bir insaný tanýmak için ya alýþ veriþ etmeli, ya yola gitmeli;toplum
bir kötünün yedi mahalleye zararý dokunur (vardýr);toplum
bir þeyin önüne bakma, sonuna bak;hayat
bir yemem diyenden kork, bir oturmam diyenden;psikoloji
bir sürçen atýn baþý kesilmez;toplum
bir sýçrarsýn çekirge, iki sýçrarsýn çekirge, üçüncüde ele geçersin çekirge;psikoloji
bir elin nesi var iki elin sesi var;toplum
bir mýh bir nal kurtarýr, bir nal bir at kurtarýr;iþ
bir selâm bin hatýr yapar;toplum
bir koyundan iki post çýkmaz;hayat
bir evde düzen olunca düzenbaz olmaz;aile
"biri yer, biri bakar; kýyamet ondan kopar";toplum
bir (sað) elinin verdiðini öbür (sol) elin görmesin;hayat
bir göz aðlarken öbür göz gülmez;psikoloji
bin tasa (kaygý) bir borç ödemez;iþ
bir deli kuyuya bir taþ atmýþ, kýrk akýllý çýkaramamýþ;toplum
bir baþa bir göz yeter;hayat
bir adamýn adý çýkacaðýna caný çýksýn;toplum
bir çöplükte iki horoz ötmez;toplum
bir aðýzdan çýkar bin aðýza yayýlýr;toplum
bir bulutla kýþ olmaz (bir çiçekle yaz gelmez);toplum
bin bilsen de bir bilene danýþ;hayat
bir ahýrda at da bulunur, eþek de;eðitim
bin ölçüp bir biçmeli;toplum
bin nasihatten bir musibet yeðdir;hayat
bin merak bir borç ödemez;psikoloji
beterin beteri vardýr;iþ
bilen bilir, bilmeyen aslý var sanýr;hayat
býçak sapýný kesmez;toplum
bin dost az, bir düþman çok;psikoloji
balta deðmedik (girmedik) aðaç (orman) olmaz;toplum
bilinmedik aþ ya karýn aðrýtýr, ya baþ;hayat
býçak yarasý geçer (onulur), dil yarasý geçmez (onulmaz);saðlýk
býçaðý kestiren kendi yüzü suyu, insaný sevdiren kendi huyu;psikoloji
besle kargayý, oysun gözünü;psikoloji
beþ parmaðýn beþi bir deðil (olmaz);toplum
beleþ atýn diþine (yaþýna, yularýna, dizginine) bakýlmaz;toplum
"besle, büyük danayý; tanýmasýn anayý";toplum
baþ kes, yaþ kesme;eðitim
baþ dille tartýlýr;eðitim
baþ nereye giderse ayak da oraya gider;iþ
alet iþler, el övünür;saðlýk
baþýný acemi berbere teslim eden, pamuðunu cebinde taþýsýn;toplum
baþ baþa vermeyince taþ yerinden kalkmaz;toplum
baskýn basanýndýr;toplum
baþ baþa baðlý, baþ da þeriata;hayat
baþa gelmeyince bilinmez;hayat
baþa gelen çekilir;toplum
baba koruk (ekþi elma, erik) yer, oðlunun diþi kamaþýr;toplum
baskýsýz (çivisiz) yongayý (tahtayý) yel (el) alýr, sahipsiz tarlayý sel alýr;toplum
baba malý tez tükenir, evlât gerek kazana;psikoloji
bana dokunmayan yýlan bin yaþasýn;hayat
bana benden her ne olursa, baþým rahat bulur dilim susarsa;psikoloji
bal tutan parmaðýný yalar;toplum
bakmakla usta olunsa, köpekler (kediler) kasap olurdu;iþ
baca eðri de olsa duman doðru çýkar;toplum
bakarsan bað, bakmazsan dað olur;hayat
baðlý koyun yerinde otlar;iþ
baða bak üzüm olsun, yemeye yüzün olsun (baðda izin olsun, üzüm yemeye yüzün olsun);iþ
baðla atýný, ýsmarla hakk’a;hayat
bal bal demekle aðýz tatlanmaz;toplum
balýn olsun tek, sinek baðdat’tan gelir;hayat
balýk baþtan avlanýr;toplum
balýk baþtan kokar;hayat
balýk aða girdikten sonra aklý baþýna gelir;eðitim
cahile söz anlatmak, deveye hendek atlatmaktan zordur;eðitim
cambaz ipte, balýk dipte gerek;saðlýk
cana gelecek (kaza-zarar) mala gelsin;saðlýk
can boðazdan gelir;toplum
can canýn yoldaþýdýr;toplum
can cümleden aziz (dir);psikoloji
can çýkmayýnca huy çýkmaz;hayat
caný yanan eþek attan yürük olur;hayat
cefa çekmeyen sefanýn kadrini bilmez;hayat
cennetin kapýsýný cömertler açar;toplum
cesurun bakýþý, korkaðýn kýlýcýndan keskindir;toplum
cins horoz yumurtada (iken) öter;toplum
cins kedi ölüsünü göstermez;psikoloji
cömert derler maldan ederler, yiðit derler candan ederler;toplum
çabuk parlayan, çabuk söner;toplum
çaðrýlan yere erinme, çaðrýlmayan yere görünme;toplum
çalýda gül bitmez, cahile söz yetmez;toplum
çalma elin kapýsýný, çalarlar kapýný;toplum
çam sakýzý, çoban armaðaný;hayat
çanaða ne doðrarsan kaþýðýna o çýkar;hayat
çanakta balýn olsun, arý baðdat’tan gelir;toplum
çarþý iti ev beklemez;toplum
çatal kazýk yere çakýlmaz;toplum
çýkmadýk candan umut kesilmez;hayat
çýngýraklý deve kaybolmaz;toplum
çiftçinin ambarý sabanýn ucundadýr;iþ
çingene çingeneye çatmadýkça kasnak boynuna geçmez;toplum
"çiftçiye yaðmur, yolcuya kurak; cümlenin muradýný verecek hakk";hayat
çingeneden çoban olmaz, yahudi`den pehlivan;toplum
çingeneye beylik vermiþler, önce babasýný asmýþ;toplum
çirkefe taþ atma üstüne sýçrar;psikoloji
"çivi çýkar; ama yeri kalýr";psikoloji
çivi çiviyi söker;psikoloji
çobana verme kýzý, ya koyun güttürür ya kuzu;aile
çobansýz koyunu kurt kapar;toplum
çocuða iþ buyuran, ardýna kendi düþer (çocuða iþ, ardýna sen düþ/ çocuðu iþe sal, ardýnca sen var);aile
çocuðun bulunduðu yerde dedikodu (gýybet) olmaz;toplum
çocuðun yediði helâl, giydiði haram;aile
çocuk büyütmek taþ kemirmek;aile
çocuk doðmadan kaftan biçilmez;aile
çocuk düþe kalka büyür;aile
çocuktan al haberi;aile
çoðu zarar, azý karar;psikoloji
çok arpa atý çatlatýr;saðlýk
çok bilen çok yanýlýr;eðitim
çok gezen çok bilir;eðitim
çok havlayan köpek ýsýrmaz;toplum
çok koþan (seðirten) çabuk (tez) yorulur;saðlýk
çok söyleme arsýz olur, aç koyma hýrsýz olur (aç býrakma hýrsýz olur, çok söyleme arsýz olur);psikoloji
çok yaþayan bilmez, çok gezen bilir;eðitim
çürük tahta çivi tutmaz;iþ
dað baþý dumansýz olmaz;toplum
dað daða kavuþmaz, insan insana kavuþur;toplum
dað ne kadar yüce olsa yol (onun) üstünden aþar;hayat
damlaya damlaya göl olur;hayat
darý unundan baklava, incir aðacýndan oklava olmaz;iþ
danýþan daðý aþmýþ, danýþmayan (-ýn) yolu þaþmýþ;eðitim
davul dengi dengine çalar;toplum
davulun sesi uzaktan hoþ gelir;psikoloji
deðirmen iki taþtan, muhabbet iki baþtan;toplum
deli deliden hoþlanýr, imam ölüden;toplum
deli ile çýkma yola, baþýna getirir (gelir türlü) belâ;psikoloji
deliye her gün bayram;psikoloji
demir nemden, insan gamdan çürür (duvarý nem, insaný gam yýkar);saðlýk
demir tavýnda dövülür;iþ
denize düþen yýlana sarýlýr;hayat
derdini söylemeyen derman bulamaz;saðlýk
dertsiz baþ (kul) olmaz;hayat
derviþin fikri ne ise, zikri de odur;psikoloji
destursuz baða girilmez (gireni sopa ile kovarlar);toplum
deveden büyük fil var;toplum
deveyi yardan uçuran bir tutam ottur;psikoloji
devletin malý deniz, yemeyen domuz;toplum
dibi görünmeyen suya girme;hayat
dikensiz gül olmaz;hayat
dilim seni dilim dilim dileyim, baþýma geleni senden bileyim;psikoloji
dilin cismi küçük, cürmü büyük;psikoloji
dilin kemiði yok;psikoloji
dinsizin hakkýndan imansýz gelir;toplum
doðmadýk çocuða kaftan (don) biçilmez;aile
doðrunun yardýmcýsý allah’týr;toplum
doðru söyleyeni dokuz köyden kovarlar;toplum
dokuz at bir kazýða baðlanmaz;toplum
doðru söz (aðýdan) acýdýr;psikoloji
dolu bardak su almaz;psikoloji
dolu küpün sesi çýkmaz;psikoloji
dost baþa bakar, düþman ayaða;toplum
dost acý söyler;psikoloji
dost dostun eyerlenmiþ atýdýr;aile
dost kara günde belli olur;toplum
"dost ile ye, iç; alýþ veriþ etme";iþ
dostluk baþka, alýþ veriþ baþka;toplum
dostun attýðý taþ baþ yarmaz;psikoloji
duvarý nem, insaný gam yýkar;saðlýk
dünya malý dünyada kalýr;toplum
dünya sultan süleyman’a bile kalmamýþ;hayat
dünya tükenir, yalan tükenmez;toplum
düþenin dostu olmaz, hele bir yol düþ de gör;toplum
düþman düþmana rahmet (gazel, yasîn) okumaz;hayat
düþmez, kalkmaz bir allah;hayat
ecel geldi cihana, baþ aðrýsý bahane;toplum
eceli gelen köpek cami duvarýna iþer;toplum
eðilen baþ kesilmez;hayat
eden bulur, inleyen ölür;hayat
eðreti ata (el atýna) binen tez iner;psikoloji
eðri otur, doðru söyle;iþ
ekmeden biçilmez;iþ
ek tohumun hasýný, çekme yiyecek yasýný;toplum
elçiye zeval olmaz;toplum
el elden üstündür;toplum
el elin eþeðini türkü çaðýrarak arar;toplum
el el ile, deðirmen yel ile;toplum
el eli yýkar, iki el de yüzü;toplum
el için kuyu kazan, evvelâ kendi düþer;toplum
el ile gelen düðün bayram;toplum
el mi yaman, bey mi?;toplum
el kazaný ile aþ kaynamaz;iþ
el yarasý onulur (geçer, iyi olur) dil yarasý onulmaz (iyi olmaz);psikoloji
emek olmadan yemek olmaz;iþ
emanete hýyanet olmaz;toplum
erkek arslan diþisinden kuvvet alýr;aile
er ekmeði er kursaðýnda kalmaz;toplum
er olan ekmeðini taþtan çýkarýr;iþ
erteye kalan, arkaya kalýr;aile
esirgenen göze çöp batar;psikoloji
eski dost düþman olmaz, yenisinden vefa gelmez;aile
eþeðe altýn semer vursalar, eþek yine eþektir;psikoloji
"eþeðin kuyruðunu kalabalýkta kesme; kimi uzun, kimi kýsa der";toplum
eþeðini saðlam kazýða baðla, sonra allah’a ýsmarla;toplum
"eþek hoþaftan ne anlar; suyunu içer, tanesini býrakýr";psikoloji
eþek bile bir düþtüðü yere bir daha düþmez;hayat
etle týrnak arasýna girilmez;aile
ev alma komþu al;toplum
etme bulma dünyasý;hayat
evdeki hesap çarþýya uymaz;iþ
evli evinde, köylü köyünde gerek;toplum
evi ev eden avrat, yurdu þen eden devlet;aile
fakirlik ayýp deðil, tembellik ayýp;iþ
fare (sýçan) deliðe sýðmamýþ, bir de kuyruðuna (kýçýna) kabak baðlamýþ;psikoloji
faydasýz baþ mezara yaraþýr;toplum
fazla (artýk) mal göz çýkarmaz;psikoloji
fýrsat her vakit ele geçmez;iþ
fukaranýn tavuðu tek tek yumurtlar;toplum
gafile kelâm, nafile kelâm;toplum
garip kuþun yuvasýný allah yapar;toplum
gammaz olmasa tilki pazarda gezer;toplum
gelene git denilmez;toplum
gâvurun ekmeðini yiyen, gâvurun kýlýcýný çalar;toplum
gelen gidene rahmet okutur (gelen gideni aratýr);toplum
gençliðin kýymeti ihtiyarlýkta bilinir (anlaþýlýr);hayat
gemisini kurtaran kaptan;toplum
gençlikte para kazan (taþ taþý), kocalýkta kur kazan (ye aþý);hayat
gidip de gelmemek, gelip de görmemek (bulmamak) var;hayat
gidilmeyen yer senin deðildir (olmaz);toplum
göðe direk, denize kapak olmaz;hayat
gönülsüz namaz göðe (göklere) aðmaz (gönülsüz davara giden köpekten hayýr gelmez);toplum
gönülden gönüle (kalpten kalbe) yol vardýr(kalp kalbe karþýdýr);hayat
gönül ferman dinlemez;hayat
gönülsüz yenen aþ, ya karýn aðrýtýr, ya baþ;psikoloji
gönlün yazý var, kýþý var;psikoloji
gön yufka yerinden delinir;hayat
görenedir görene, köre nedir köre ne?;psikoloji
gönül bir sýrça saraydýr, kýrýlýrsa yapýlmaz;psikoloji
görünen köy kýlavuz istemez;toplum
gören gözün hakký vardýr;toplum
göz görmeyince gönül katlanýr;psikoloji
gözden ýrak olan, gönülden de ýrak olur;psikoloji
gülü seven dikenine katlanýr;toplum
gülme komþuna, gelir baþýna;psikoloji
gözü tanede olan kuþun ayaðý tuzaktan kurtulamaz;psikoloji
güneþ balçýkla sývanmaz;toplum
gün doðmadan neler doðar;toplum
güneþ girmeyen eve doktor girer;toplum
güvenme varlýða, düþersin darlýða;toplum
güzün geliþi yazdan bellidir;toplum
güvenme dostuna, saman doldurur postuna;hayat
hacý hacý olmaz gitmekle mekke’ye, dede dede olmaz gitmekle tekkeye;psikoloji
haddini bilmeyene bildirirler;toplum
hak deyince akan sular durur;toplum
hak yerde kalmaz;toplum
hak gelince, batýl gider;toplum
hamama giren terler;toplum
hak yerini bulur;toplum
haramýn temeli olmaz (haramdan þifa olmaz);toplum
hamala semeri yük deðildir (olmaz);hayat
harman dövmek keçinin iþi deðil;iþ
hastalýk saðlýk bizim (insan) için;saðlýk
hay’dan gelen, hu’ya gider (selden gelen, suya gider);hayat
hatasýz kul olmaz;toplum
hayvanlar koklaþa koklaþa, insanlar söyleþe söyleþe ( konuþa konuþa) anlaþýr;toplum
hayýr dile komþuna, hayýr gele baþýna;toplum
hayvan yularýndan, insan ikrarýndan tutulur;psikoloji
hayvaný yardan düþüren bir tutam ottur;psikoloji
hekimden sorma, çekenden sor;saðlýk
hekimsiz, hâkimsiz yerde oturma;toplum
her aðacýn meyvesi olmaz;toplum
her aðaçtan kaþýk olmaz;toplum
her çok azdan olur;hayat
her damardan kan alýnmaz;saðlýk
her deliðe elini sokma, ya yýlan çýkar ya çýyan;psikoloji
her firavun’un bir musa’sý olur;toplum
her horoz kendi çöplüðünde öter;toplum
her iþin baþý saðlýk;saðlýk
her iniþin bir yokuþu vardýr;hayat
herkes bildiðini okur;toplum
her kaþýðýn kýsmeti bir olmaz;hayat
herkesin arþýnýna göre bez vermezler;toplum
herkesin ettiði yoluna gelir;toplum
herkesin yorulduðu yere han yapýlmaz;iþ
herkesin tenceresi kapalý kaynar;toplum
herkes ne ederse kendine eder;toplum
herkes kaþýk yapar ama sapýný ortaya getiremez;toplum
her þeyin bir vakti var, horoz bile vaktinde öter;hayat
her kuþun eti yenmez;toplum
her koyun kendi bacaðýndan asýlýr;toplum
her yiðidin bir yoðurt yiyiþi vardýr;hayat
her þeyin yenisi, dostun eskisi (makbuldür);toplum
her zaman gemicinin istediði rüzgâr esmez;hayat
her yiðidin gönlünde bir arslan yatar;iþ
hesapsýz kasap, ya býçak kýrar ya masat (hesabýný bilmeyen kasap, ne satýr býrakýr, ne masat);eðitim
her ziyan bir öðüttür;psikoloji
hýrsýzlýk bir ekmekten, kahpelik bir öpmekten;psikoloji
hiddetle kalkan nedâmetle oturur;psikoloji
hocanýn (imamýn) dediðini yap (söylediðini dinle), arkasýndan gitme (yaptýðýný yapma);toplum
hocanýn (öðretmenin) vurduðu yerde gül biter;eðitim
horoz ölür, gözü çöplükte kalýr;psikoloji
horozu çok olan köyde sabah geç olur;toplum
huy canýn altýndadýr;psikoloji
huylu huyundan vazgeçmez;psikoloji
irmak kenarýna çeþme yapýlmaz;toplum
irmaktan geçerken at deðiþtirilmez;toplum
irz insanýn kaný pahasýdýr;toplum
isýrgan ile taharet olmaz;toplum
isýracak it diþini göstermez;psikoloji
islanmýþýn yaðmurdan pervasý yoktur;toplum
i?badet de gizli, kabahat de;toplum
i?ðneyi kendine, çuvaldýzý baþkasýna batýr;toplum
issýz eve it buyruk;toplum
i?ki baþ bir kazanda kaynamaz;toplum
i?ki at bir kazýða baðlanmaz;eðitim
i?ki cambaz bir ipte oynamaz;psikoloji
i?ki dinle (bin iþit) bir söyle;aile
i?ki karpuz bir koltuða sýðmaz;eðitim
i?ki el bir baþ içindir;toplum
i?ki ölç, bir biç;toplum
i?nsan doðduðu yerde deðil, doyduðu yerde;hayat
i?nsan göre göre, hayvan süre süre (alýþýr);toplum
i?nsan beþer, kuldur þaþar;toplum
i?nsan insanýn (adam adamýn) þeytanýdýr;psikoloji
i?nsan yedisinde ne ise, yetmiþinde de odur;psikoloji
i?steyenin bir yüzü kara, vermeyenin iki yüzü;psikoloji
i?slam’ýn þartý beþ, altýncýsý insaf demiþler;toplum
i?p inceldiði yerden kopar;toplum
i?þten artmaz, diþten artar;psikoloji
i?þleyen demir ýþýldar (pas tutmaz);iþ
i?þ olacaðýna varýr;iþ
i?þ insanýn aynasýdýr;hayat
i?þine hor bakan (sanatýný hor gören) boynuna torba takar;iþ
i?t derisinden post olmaz;iþ
i?t itin ayaðýna (kuyruðuna) basmaz;toplum
i?tin (köpeðin) duasý kabul olunsaydý gökten kemik yaðardý;toplum
i?tle çuvala girilmez;toplum
i?tle yatan bitle kalkar;toplum
i?yi dost kara günde belli olur;psikoloji
i?t ürür, kervan yürür;aile
i?yi evlât babayý vezir, kötüsü rezil eder;toplum
i?yiliðe iyilik her kiþinin kârý, kötülüðe iyilik er kiþinin kârý;aile
i?yilik et, denize at, balýk bilmezse hâlik bilir;hayat
i?yilik eden iyilik bulur;toplum
i?yilik (muhabbet) iki baþtan;toplum
i?yi olacak hastanýn hekim ayaðýna gelir;toplum
kaçanýn anasý aðlamamýþ;toplum
kaçan balýk büyük olur;toplum
karaya sabun, deliye öðüt neylesin;aile
kardeþ kardeþi býçaklamýþ, dönmüþ yine kucaklamýþ;iþ
kalaylý bakýr küflenmez;aile
